TIME	KIN_EN	STRAIN_EN	GRAV_EN	MECH_EN	TIMESTEP	F_CRIT	M_CRIT	DISP_CRIT	ROT_CRIT	
3.198000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931517e-04	1.000036e-04	5.359943e-06	1.966991e-05	
3.198500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931485e-04	1.000036e-04	3.786580e-06	1.474929e-05	
3.199000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931433e-04	1.000036e-04	2.709246e-06	1.060723e-05	
3.199500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930719e-04	1.000036e-04	7.151429e-07	4.431364e-06	
3.200000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930718e-04	1.000036e-04	2.929189e-06	1.169630e-05	
3.200500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931111e-04	1.000036e-04	4.874370e-06	1.465077e-05	
3.201000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931507e-04	1.000036e-04	5.177637e-06	1.982081e-05	
3.201500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931443e-04	1.000036e-04	3.425130e-06	1.325628e-05	
3.202000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931284e-04	1.000036e-04	2.316163e-06	1.033470e-05	
3.202500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930632e-04	1.000036e-04	1.030061e-06	3.387665e-06	
3.203000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930665e-04	1.000036e-04	3.080120e-06	1.365013e-05	
3.203500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931154e-04	1.000036e-04	5.173670e-06	1.521743e-05	
3.204000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931445e-04	1.000036e-04	4.915348e-06	1.910719e-05	
3.204500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931449e-04	1.000036e-04	3.125442e-06	1.220967e-05	
3.205000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931142e-04	1.000036e-04	1.821119e-06	9.674549e-06	
3.205500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930693e-04	1.000036e-04	1.584017e-06	3.965326e-06	
3.206000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930717e-04	1.000036e-04	3.232198e-06	1.487496e-05	
3.206500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931245e-04	1.000036e-04	5.371413e-06	1.675265e-05	
3.207000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931480e-04	1.000036e-04	4.612366e-06	1.766771e-05	
3.207500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931522e-04	1.000036e-04	3.155786e-06	1.163177e-05	
3.208000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931032e-04	1.000036e-04	1.365589e-06	8.562716e-06	
3.208500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930760e-04	1.000036e-04	2.100174e-06	5.507798e-06	
3.209000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930740e-04	1.000036e-04	3.796563e-06	1.541765e-05	
3.209500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931251e-04	1.000036e-04	5.445846e-06	1.803338e-05	
3.210000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931404e-04	1.000036e-04	4.278752e-06	1.656888e-05	
3.210500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931440e-04	1.000036e-04	3.055686e-06	1.106415e-05	
3.211000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930744e-04	1.000036e-04	1.107520e-06	6.940440e-06	
3.211500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930610e-04	1.000036e-04	2.524699e-06	8.075455e-06	
3.212000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930786e-04	1.000036e-04	4.305411e-06	1.534273e-05	
3.212500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931262e-04	1.000036e-04	5.404044e-06	1.938731e-05	
3.213000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931288e-04	1.000036e-04	3.922744e-06	1.527261e-05	
3.213500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931276e-04	1.000036e-04	2.827195e-06	1.064034e-05	
3.214000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930560e-04	1.000036e-04	8.303980e-07	5.035889e-06	
3.214500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930521e-04	1.000036e-04	2.841115e-06	1.080624e-05	
3.215000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930863e-04	1.000036e-04	4.736433e-06	1.477852e-05	
3.215500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931287e-04	1.000036e-04	5.256235e-06	1.986846e-05	
3.216000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931187e-04	1.000036e-04	3.559793e-06	1.383216e-05	
3.216500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931085e-04	1.000036e-04	2.476427e-06	1.047356e-05	
3.217000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930380e-04	1.000036e-04	8.427014e-07	3.604811e-06	
3.217500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930391e-04	1.000036e-04	3.037799e-06	1.299429e-05	
3.218000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930849e-04	1.000036e-04	5.070013e-06	1.478255e-05	
3.218500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931181e-04	1.000036e-04	5.021841e-06	1.947005e-05	
3.219000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931155e-04	1.000036e-04	3.206849e-06	1.243567e-05	
3.219500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930921e-04	1.000036e-04	2.017382e-06	9.974727e-06	
3.220000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930414e-04	1.000036e-04	1.372798e-06	3.600865e-06	
3.220500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930432e-04	1.000036e-04	3.112624e-06	1.450452e-05	
3.221000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930950e-04	1.000036e-04	5.311674e-06	1.621061e-05	
3.221500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931203e-04	1.000036e-04	4.728321e-06	1.826523e-05	
3.222000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931225e-04	1.000036e-04	3.159436e-06	1.184490e-05	
3.222500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930822e-04	1.000036e-04	1.471736e-06	9.034867e-06	
3.223000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930503e-04	1.000036e-04	1.915826e-06	4.700050e-06	
3.223500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930491e-04	1.000036e-04	3.590837e-06	1.528708e-05	
3.224000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931013e-04	1.000036e-04	5.432210e-06	1.753281e-05	
3.224500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931200e-04	1.000036e-04	4.407365e-06	1.700672e-05	
3.225000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931233e-04	1.000036e-04	3.108531e-06	1.128116e-05	
3.225500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930631e-04	1.000036e-04	1.204501e-06	7.611468e-06	
3.226000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930464e-04	1.000036e-04	2.377860e-06	6.967568e-06	
3.226500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930567e-04	1.000036e-04	4.122110e-06	1.543817e-05	
3.227000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931049e-04	1.000036e-04	5.432629e-06	1.897699e-05	
3.227500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931127e-04	1.000036e-04	4.057999e-06	1.577883e-05	
3.228000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931128e-04	1.000036e-04	2.927492e-06	1.066561e-05	
3.228500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930415e-04	1.000036e-04	9.394506e-07	5.662286e-06	
3.229000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930360e-04	1.000036e-04	2.735374e-06	9.828712e-06	
3.229500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930643e-04	1.000035e-04	4.585581e-06	1.503840e-05	
3.230000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931090e-04	1.000035e-04	5.323224e-06	1.979233e-05	
3.230500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931018e-04	1.000035e-04	3.695485e-06	1.438670e-05	
3.231000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930943e-04	1.000035e-04	2.621671e-06	1.057124e-05	
3.231500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930239e-04	1.000035e-04	6.529849e-07	3.996831e-06	
3.232000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930250e-04	1.000035e-04	2.978686e-06	1.225305e-05	
3.232500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930669e-04	1.000035e-04	4.957245e-06	1.470310e-05	
3.233000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.931038e-04	1.000035e-04	5.118368e-06	1.972112e-05	
3.233500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930992e-04	1.000035e-04	3.337129e-06	1.286650e-05	
3.234000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930802e-04	1.000035e-04	2.200916e-06	1.020653e-05	
3.234500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930206e-04	1.000035e-04	1.161181e-06	3.218169e-06	
3.235000e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930240e-04	1.000035e-04	3.098759e-06	1.401950e-05	
3.235500e+02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	5.000000e-02	5.930740e-04	1.000035e-04	5.234904e-06	1.563353e-05	
